tipoDocumento,numeroDocumento,nombreCompleto,caracterizacion
PA,37956895,Juan López,INHABILITAR
PA,58893647,María Sánchez,INHABILITAR
PA,58836170,Patricia Sánchez,INHABILITAR
CC,30605031,María López,EMBARGAR
PA,86758092,María Sánchez,EMBARGAR
CE,63247957,Carmen Rodríguez,INHABILITAR
CE,54266357,Luis García,EMBARGAR
CE,65867587,Luis Pérez,EMBARGAR
CE,34087954,Luis González,EMBARGAR
PA,22200487,María Sánchez,EMBARGAR
PA,00548814,José Sánchez,INHABILITAR
PA,19125706,Pedro Sánchez,EMBARGAR
CE,54853085,Juan García,EMBARGAR
PA,98600669,José García,EMBARGAR
CC,89441193,Carmen Pérez,EMBARGAR
CE,54929887,Patricia Martínez,INHABILITAR
CE,94750224,María Martínez,INHABILITAR
CC,00592329,Patricia López,EMBARGAR
CC,57139879,Patricia González,INHABILITAR
CC,65414627,Juan López,EMBARGAR
CC,19021402,Ana González,INHABILITAR
CC,78618761,Patricia Sánchez,EMBARGAR
PA,12324633,Ana Martínez,EMBARGAR
CC,99979408,Ana Rodríguez,EMBARGAR
CE,95413159,Juan González,INHABILITAR
CE,37394604,Pedro González,INHABILITAR
CE,64432000,Luis López,EMBARGAR
CE,04508275,Luis Sánchez,INHABILITAR
CE,76989231,Juan González,INHABILITAR
CE,08677757,Juan Pérez,EMBARGAR
CC,28143412,Juan López,EMBARGAR
CE,43508360,Patricia Rodríguez,INHABILITAR
PA,51707695,Ana Martínez,EMBARGAR
CE,82957676,José López,INHABILITAR
CE,93571231,José Rodríguez,INHABILITAR
CE,49382639,María Sánchez,INHABILITAR
CE,53747250,José García,EMBARGAR
CE,54361242,Pedro González,EMBARGAR
CC,03381029,María Pérez,EMBARGAR
CE,03865549,María Rodríguez,INHABILITAR
CC,14393610,María Pérez,EMBARGAR
PA,28555651,María Rodríguez,EMBARGAR
PA,07957667,Luis Pérez,EMBARGAR
CE,12957759,Ana García,EMBARGAR
PA,49408097,Luis Pérez,INHABILITAR
PA,80422086,Carmen Pérez,EMBARGAR
PA,36093072,José García,EMBARGAR
CE,00433528,María Sánchez,EMBARGAR
CE,26414566,Luis González,EMBARGAR
PA,37114385,Luis García,INHABILITAR
PA,22396612,José Rodríguez,EMBARGAR
PA,81623546,Pedro Sánchez,EMBARGAR
CE,89425190,Carmen Sánchez,EMBARGAR
PA,75799337,Juan Sánchez,EMBARGAR
CC,91964627,Luis Sánchez,INHABILITAR
PA,85957105,Ana Rodríguez,EMBARGAR
CC,54830585,Juan Martínez,INHABILITAR
PA,67536662,María López,EMBARGAR
CC,22745877,Luis González,INHABILITAR
CE,31248300,María González,EMBARGAR
PA,88695445,María Rodríguez,INHABILITAR
CE,86040428,José García,INHABILITAR
CC,69897286,Carmen González,EMBARGAR
CC,93363254,María García,INHABILITAR
PA,73726019,Patricia López,EMBARGAR
CC,93530548,Patricia Pérez,INHABILITAR
CC,20678853,Luis García,EMBARGAR
CC,58212626,Carmen Sánchez,INHABILITAR
CC,21571500,Ana Pérez,INHABILITAR
CC,00760313,Carmen García,INHABILITAR
PA,61579386,Carmen Rodríguez,INHABILITAR
PA,20999955,Pedro Sánchez,INHABILITAR
CE,11176144,Carmen Rodríguez,INHABILITAR
PA,32685935,José López,INHABILITAR
CC,69357145,José Pérez,INHABILITAR
CE,05725786,Ana Rodríguez,INHABILITAR
PA,76160914,Ana González,EMBARGAR
PA,66321727,Ana López,INHABILITAR
CE,89450621,Carmen Sánchez,INHABILITAR
CC,03024745,Patricia López,INHABILITAR
CC,30619891,Luis Rodríguez,INHABILITAR
CC,62767471,Patricia López,INHABILITAR
PA,54881267,Patricia Rodríguez,EMBARGAR
CC,44169061,María Rodríguez,EMBARGAR
PA,10520025,Carmen Sánchez,INHABILITAR
PA,08138221,Carmen Pérez,INHABILITAR
PA,81522964,Juan Martínez,INHABILITAR
PA,74840425,Patricia Pérez,EMBARGAR
PA,24072075,José Pérez,INHABILITAR
CE,28821946,Luis Rodríguez,INHABILITAR
PA,80626573,Patricia Sánchez,INHABILITAR
PA,57457670,Ana González,EMBARGAR
PA,67515324,Juan González,EMBARGAR
CC,61868339,José Martínez,INHABILITAR
PA,39240703,Juan Sánchez,INHABILITAR
PA,61876695,María Martínez,INHABILITAR
CC,82387289,Patricia González,EMBARGAR
CC,18489210,Luis López,INHABILITAR
PA,98554008,Luis González,INHABILITAR
CC,27228816,María Sánchez,EMBARGAR
CE,20474615,Ana López,EMBARGAR
CC,36353872,José Martínez,EMBARGAR
CC,22232804,Pedro Martínez,EMBARGAR
PA,10709469,Ana Pérez,INHABILITAR
PA,46570026,María López,EMBARGAR
CE,80390345,Luis Rodríguez,INHABILITAR
CE,90379250,Pedro Sánchez,INHABILITAR
PA,27351543,María Sánchez,INHABILITAR
CE,85251106,María Martínez,EMBARGAR
CE,35576259,Pedro González,EMBARGAR
PA,99153015,Patricia Sánchez,EMBARGAR
CC,52708318,Pedro García,INHABILITAR
CC,60218651,Patricia García,EMBARGAR
CC,46438914,María Rodríguez,INHABILITAR
CC,23493736,Patricia López,EMBARGAR
CE,46629408,Carmen González,INHABILITAR
PA,23359944,Luis Martínez,INHABILITAR
CE,30137709,Patricia Pérez,INHABILITAR
CE,08212656,Pedro Sánchez,EMBARGAR
PA,94591281,Juan Pérez,INHABILITAR
CC,17469914,Luis Martínez,INHABILITAR
PA,03846390,Patricia García,EMBARGAR
CC,86239241,Ana Martínez,EMBARGAR
CE,88199509,Luis Rodríguez,EMBARGAR
CC,59788206,Patricia Rodríguez,EMBARGAR
PA,44181783,Pedro Sánchez,INHABILITAR
CC,45428988,Patricia Martínez,INHABILITAR
PA,42090300,Ana García,INHABILITAR
PA,02204947,Luis Sánchez,EMBARGAR
PA,77421299,Patricia Martínez,INHABILITAR
CE,94319093,Ana Pérez,EMBARGAR
CE,78477355,Pedro Martínez,INHABILITAR
PA,53727033,Ana López,INHABILITAR
CE,43389472,María González,EMBARGAR
PA,84221566,Juan García,EMBARGAR
CC,57118418,Patricia Martínez,INHABILITAR
PA,45379510,Pedro Martínez,INHABILITAR
CC,01601022,Luis García,EMBARGAR
PA,90716829,Pedro García,INHABILITAR
PA,36062400,María García,EMBARGAR
PA,68905907,Ana Sánchez,INHABILITAR
PA,61724355,Carmen Pérez,INHABILITAR
PA,58134088,Pedro Sánchez,INHABILITAR
CE,43151727,Ana Martínez,INHABILITAR
PA,62084148,Carmen Rodríguez,EMBARGAR
CC,48139799,José García,INHABILITAR
CE,02311685,Patricia Rodríguez,EMBARGAR
CC,48127996,María López,EMBARGAR
CE,63527301,Luis González,EMBARGAR
CE,21857879,María Rodríguez,INHABILITAR
CC,14573727,María González,INHABILITAR
CC,89027959,José Sánchez,INHABILITAR
CE,87692224,Juan López,EMBARGAR
PA,93636217,Carmen López,INHABILITAR
CC,15619843,Patricia Martínez,EMBARGAR
CC,25936851,Luis González,INHABILITAR
CE,02561404,José González,EMBARGAR
PA,71907466,Carmen López,INHABILITAR
PA,91342649,Carmen Sánchez,INHABILITAR
PA,44504187,José Sánchez,EMBARGAR
PA,94113168,Ana Rodríguez,INHABILITAR
CE,80226774,Ana González,INHABILITAR
CC,95573375,Patricia García,EMBARGAR
PA,61332353,José González,EMBARGAR
CE,71862277,Patricia López,EMBARGAR
PA,38761125,Juan Rodríguez,INHABILITAR
CC,25819520,Pedro García,INHABILITAR
CE,56065395,Luis Rodríguez,INHABILITAR
CC,66895131,Patricia Rodríguez,INHABILITAR
CC,76631966,Juan Pérez,EMBARGAR
CE,12475826,Ana Rodríguez,EMBARGAR
PA,83766732,Luis García,EMBARGAR
PA,69726834,José Martínez,EMBARGAR
PA,03511243,Ana González,EMBARGAR
PA,04654798,Patricia García,INHABILITAR
PA,66036740,Ana López,EMBARGAR
CC,26913626,Juan García,EMBARGAR
PA,02178104,Juan García,INHABILITAR
