tipoDocumento,numeroDocumento,nombreCompleto,caracterizacion
PA,98610593,Carmen López,INHABILITAR
CC,90495000,María Sánchez,EMBARGAR
PA,59034954,Ana Rodríguez,INHABILITAR
CC,71737662,José Rodríguez,INHABILITAR
CE,83655928,Luis González,INHABILITAR
CC,41137010,Carmen González,EMBARGAR
CC,03258226,Luis Martínez,INHABILITAR
CC,17901962,María González,EMBARGAR
CE,41716055,Ana Sánchez,EMBARGAR
CC,86924919,Pedro Martínez,INHABILITAR
CE,53986353,Luis Martínez,INHABILITAR
CE,95797799,José González,INHABILITAR
CE,99929468,Juan Martínez,EMBARGAR
CC,51740595,Patricia Sánchez,INHABILITAR
CE,35391292,Pedro López,INHABILITAR
CC,12614407,Luis Pérez,EMBARGAR
CE,95413736,María Sánchez,INHABILITAR
CE,01664680,Patricia González,EMBARGAR
PA,56142729,Pedro Pérez,EMBARGAR
CC,53316845,José González,INHABILITAR
PA,48634397,Patricia González,EMBARGAR
PA,36228775,Pedro Rodríguez,INHABILITAR
PA,70107476,Ana Sánchez,INHABILITAR
CC,24839112,Luis Sánchez,INHABILITAR
CE,77285365,Pedro Martínez,INHABILITAR
CE,60440122,Pedro Sánchez,EMBARGAR
CC,25167325,José López,EMBARGAR
PA,27947881,Carmen González,INHABILITAR
PA,13823336,Ana García,INHABILITAR
CC,27068663,Ana González,INHABILITAR
CC,06637255,Juan García,EMBARGAR
CE,84929374,Juan González,EMBARGAR
CE,71443120,José Pérez,EMBARGAR
CC,66947149,Patricia Sánchez,INHABILITAR
PA,10582694,Patricia Rodríguez,INHABILITAR
CE,48397478,Juan García,INHABILITAR
PA,31328318,Luis Martínez,INHABILITAR
CE,25391932,José González,INHABILITAR
PA,43831694,Juan López,INHABILITAR
CE,85760904,Luis López,INHABILITAR
CC,73966797,Carmen García,INHABILITAR
PA,40400001,Pedro García,INHABILITAR
PA,23695793,Ana Rodríguez,EMBARGAR
CE,47367638,Luis García,INHABILITAR
PA,51486145,María Pérez,INHABILITAR
CC,77113336,María Sánchez,INHABILITAR
CC,61948006,Luis Rodríguez,EMBARGAR
PA,10580068,Carmen González,INHABILITAR
CE,77774913,Patricia López,INHABILITAR
CC,05089004,Carmen Martínez,EMBARGAR
CC,41604550,Carmen Martínez,EMBARGAR
PA,99454628,Luis Pérez,INHABILITAR
CC,60889825,José Sánchez,EMBARGAR
PA,75221116,Patricia Sánchez,INHABILITAR
CC,08074734,Juan García,INHABILITAR
CE,83258719,Carmen López,INHABILITAR
PA,74185466,Ana Martínez,INHABILITAR
PA,38388009,María Martínez,INHABILITAR
PA,10185702,Juan Martínez,EMBARGAR
CE,85412239,Luis López,INHABILITAR
CE,02762137,Carmen Sánchez,INHABILITAR
CC,35893117,Patricia García,EMBARGAR
CC,76829724,María López,EMBARGAR
CE,99729496,María González,EMBARGAR
PA,52885776,Luis Rodríguez,INHABILITAR
CE,16246230,Carmen Rodríguez,EMBARGAR
CE,89283469,Patricia Sánchez,INHABILITAR
CC,33344294,Luis Sánchez,EMBARGAR
CC,67701070,Luis García,INHABILITAR
CE,91592432,María Pérez,EMBARGAR
CC,97727871,José Rodríguez,INHABILITAR
CE,99140907,Ana Rodríguez,INHABILITAR
CE,95494710,Luis García,INHABILITAR
PA,83816778,Pedro Pérez,EMBARGAR
PA,86244198,Carmen Rodríguez,EMBARGAR
CC,03621414,Patricia López,EMBARGAR
PA,28489206,Juan García,INHABILITAR
PA,48224014,Patricia Sánchez,INHABILITAR
PA,14091151,Ana García,INHABILITAR
CC,59993453,Juan Martínez,EMBARGAR
CE,41167496,Pedro González,EMBARGAR
CC,64520222,María Rodríguez,EMBARGAR
CC,44853381,Carmen Pérez,INHABILITAR
PA,22140637,Luis Pérez,INHABILITAR
CC,27052135,Patricia Rodríguez,INHABILITAR
PA,01977562,Luis López,INHABILITAR
PA,93368394,Pedro Rodríguez,INHABILITAR
CC,28858174,Luis García,EMBARGAR
CC,38375809,Juan Rodríguez,EMBARGAR
CE,96690908,Patricia Sánchez,INHABILITAR
PA,71197326,María González,EMBARGAR
CE,42655505,José Pérez,EMBARGAR
PA,83340856,José Sánchez,INHABILITAR
PA,04783713,José Pérez,INHABILITAR
CE,67251845,Patricia Sánchez,INHABILITAR
PA,17332453,Luis Sánchez,INHABILITAR
CC,81470500,María Martínez,INHABILITAR
CC,89351503,Juan Pérez,INHABILITAR
CC,76023524,Pedro López,INHABILITAR
CE,54992514,Carmen González,EMBARGAR
CE,75669571,José Martínez,EMBARGAR
CE,85647604,María Sánchez,INHABILITAR
PA,09560137,María Pérez,INHABILITAR
CC,94189106,Patricia Rodríguez,INHABILITAR
CC,27068882,José González,EMBARGAR
PA,66053781,Pedro Rodríguez,EMBARGAR
CC,06823476,Carmen García,INHABILITAR
CE,87816727,Ana Martínez,EMBARGAR
CC,51674774,Juan López,EMBARGAR
PA,81253755,Pedro Pérez,INHABILITAR
PA,87595335,Luis Martínez,INHABILITAR
PA,40452419,María López,EMBARGAR
CE,79196143,Juan Martínez,INHABILITAR
PA,18047443,José Pérez,EMBARGAR
PA,32694721,Carmen Sánchez,EMBARGAR
CE,93553093,Carmen García,EMBARGAR
PA,18500602,Ana Sánchez,EMBARGAR
CC,42993019,Carmen Martínez,INHABILITAR
CC,65796857,Carmen García,EMBARGAR
CE,37996775,Juan Sánchez,EMBARGAR
CC,63046033,Patricia González,INHABILITAR
CC,09307110,María Martínez,EMBARGAR
CC,53083945,Luis González,INHABILITAR
PA,05138508,Pedro Martínez,EMBARGAR
CC,41446245,Patricia Martínez,INHABILITAR
CE,91356242,Juan García,EMBARGAR
CC,72646491,José Pérez,INHABILITAR
CE,26701496,Pedro Rodríguez,EMBARGAR
PA,20671027,Pedro González,INHABILITAR
CC,95766678,Juan Sánchez,EMBARGAR
CC,90002034,Juan Pérez,EMBARGAR
CC,16581483,José Rodríguez,INHABILITAR
CE,09866019,María Sánchez,INHABILITAR
PA,86910615,Carmen López,EMBARGAR
CC,73924176,Ana Pérez,INHABILITAR
PA,55658792,Pedro García,EMBARGAR
PA,47699519,Carmen García,INHABILITAR
CC,24051543,José Martínez,EMBARGAR
PA,48170277,Patricia Sánchez,INHABILITAR
PA,46494680,Luis García,EMBARGAR
CC,09643022,María Sánchez,EMBARGAR
CE,71839914,Juan Martínez,EMBARGAR
PA,51751128,Carmen Pérez,EMBARGAR
PA,62834885,Ana Pérez,EMBARGAR
PA,41495121,Pedro Pérez,INHABILITAR
CC,57619079,Pedro González,EMBARGAR
CC,28572047,Ana Sánchez,EMBARGAR
CC,74064774,José Pérez,INHABILITAR
CE,69165526,José López,INHABILITAR
PA,18083063,Patricia Sánchez,INHABILITAR
CE,96760154,Patricia Rodríguez,INHABILITAR
PA,96409462,Pedro Pérez,INHABILITAR
CE,27961208,José García,EMBARGAR
PA,13914796,Patricia García,INHABILITAR
CE,71459068,Pedro López,EMBARGAR
CE,73440481,Juan García,INHABILITAR
CC,68746040,Ana García,INHABILITAR
CE,57290289,Juan Sánchez,EMBARGAR
PA,45206234,Juan González,INHABILITAR
CE,55907004,María González,INHABILITAR
PA,98581878,Ana Sánchez,INHABILITAR
CE,05925306,Juan González,EMBARGAR
CC,04716284,Juan Rodríguez,EMBARGAR
CE,39250959,Juan Rodríguez,INHABILITAR
CE,52134216,Pedro González,INHABILITAR
CE,81544308,Carmen Martínez,INHABILITAR
CE,14708284,Ana González,INHABILITAR
CE,57244591,Ana Pérez,INHABILITAR
PA,10628273,Carmen Martínez,INHABILITAR
CE,13464917,José García,INHABILITAR
CC,56685500,José Martínez,INHABILITAR
CC,86225824,Pedro García,EMBARGAR
PA,30573373,María Pérez,EMBARGAR
CE,67866407,Patricia Martínez,INHABILITAR
CE,40268725,Ana Rodríguez,INHABILITAR
CC,46256585,Juan García,INHABILITAR
CE,99875059,Carmen Rodríguez,INHABILITAR
PA,48003868,María Sánchez,EMBARGAR
CC,92389491,Carmen García,EMBARGAR
CC,12474705,José Sánchez,INHABILITAR
PA,96966260,María López,EMBARGAR
CE,03662781,Pedro González,INHABILITAR
CE,31760704,Ana García,EMBARGAR
CE,48425286,María Sánchez,EMBARGAR
CE,35092717,Juan López,EMBARGAR
CE,04695063,Patricia Sánchez,INHABILITAR
CE,38095717,Pedro Martínez,EMBARGAR
CC,38224669,Carmen García,EMBARGAR
CC,03117607,Pedro López,INHABILITAR
CE,70866944,Pedro González,INHABILITAR
CC,97809875,Juan Pérez,EMBARGAR
CE,67509828,María González,INHABILITAR
CE,76261183,Juan González,EMBARGAR
CE,87792008,Ana Rodríguez,INHABILITAR
CE,45213533,Pedro Sánchez,INHABILITAR
CE,39880418,María García,EMBARGAR
CC,00585970,Luis López,EMBARGAR
CC,05047419,Pedro Pérez,EMBARGAR
CE,29183393,Pedro Pérez,INHABILITAR
CC,50515887,José Martínez,EMBARGAR
CE,22642324,Patricia Rodríguez,INHABILITAR
PA,61920787,Ana López,EMBARGAR
PA,83572611,Juan González,INHABILITAR
CE,92696814,Ana Sánchez,INHABILITAR
CC,92915869,Pedro Sánchez,EMBARGAR
CC,95180988,Pedro Rodríguez,INHABILITAR
CC,01409622,Patricia López,EMBARGAR
PA,01057671,José López,EMBARGAR
PA,59639008,Juan Rodríguez,EMBARGAR
PA,87896319,Pedro Martínez,EMBARGAR
CE,61335192,Ana Pérez,INHABILITAR
PA,90495810,Luis Pérez,INHABILITAR
CE,70738266,Carmen Pérez,INHABILITAR
CE,73204625,Ana Sánchez,INHABILITAR
CC,89747288,Juan García,INHABILITAR
CC,77522207,José Rodríguez,INHABILITAR
PA,35634851,María Rodríguez,INHABILITAR
CC,72544373,Ana Rodríguez,INHABILITAR
CE,50046263,Juan García,INHABILITAR
PA,21122770,Pedro González,EMBARGAR
CC,43342084,Ana Pérez,INHABILITAR
CC,68346188,Patricia Sánchez,EMBARGAR
CE,88073480,Luis López,EMBARGAR
CE,46312538,María Sánchez,EMBARGAR
CE,67156261,Ana Rodríguez,INHABILITAR
PA,35961021,Luis Martínez,EMBARGAR
CE,68835092,Juan García,INHABILITAR
CE,75215297,María Martínez,INHABILITAR
PA,55358561,Patricia Martínez,INHABILITAR
CC,00984064,Ana Rodríguez,INHABILITAR
CC,38750462,Patricia González,INHABILITAR
CC,05861870,Ana García,EMBARGAR
CC,77867704,Carmen López,EMBARGAR
CC,68698758,Luis González,EMBARGAR
CE,74478912,Pedro Sánchez,INHABILITAR
CC,69360294,María García,EMBARGAR
CE,12070240,Patricia González,INHABILITAR
CC,24879043,Juan Rodríguez,INHABILITAR
CE,42666064,Luis López,INHABILITAR
CC,12858787,Ana García,INHABILITAR
CE,41123832,Pedro Pérez,EMBARGAR
CC,77956636,Pedro Rodríguez,EMBARGAR
CE,15814755,Carmen López,EMBARGAR
CE,46212812,María Martínez,EMBARGAR
CE,12577115,María López,INHABILITAR
CC,58293484,Ana González,INHABILITAR
CC,49968587,Carmen González,INHABILITAR
CE,36961682,Ana González,EMBARGAR
PA,34999822,María García,EMBARGAR
PA,70314673,Pedro Pérez,EMBARGAR
CC,79910912,Carmen García,INHABILITAR
CE,21781099,Pedro Rodríguez,INHABILITAR
PA,41198677,Pedro Sánchez,EMBARGAR
CE,43567188,Luis Rodríguez,EMBARGAR
CC,89202744,Juan Pérez,INHABILITAR
CE,58652520,Luis Pérez,INHABILITAR
CE,31595752,Pedro Sánchez,EMBARGAR
CC,62618518,Luis Rodríguez,INHABILITAR
PA,96620980,Pedro Pérez,EMBARGAR
CC,74661873,Juan Pérez,EMBARGAR
PA,05435965,José Pérez,INHABILITAR
PA,76385175,María García,INHABILITAR
PA,51969688,María López,EMBARGAR
CE,38944418,Carmen López,EMBARGAR
CE,38800514,Juan Martínez,EMBARGAR
CE,51208065,Pedro Pérez,INHABILITAR
CE,97544822,Carmen Pérez,EMBARGAR
PA,68016701,Pedro Martínez,INHABILITAR
CE,38821929,José Sánchez,EMBARGAR
CC,49595729,Pedro García,INHABILITAR
CE,93059176,Patricia Pérez,INHABILITAR
CC,59183567,Patricia García,INHABILITAR
CE,29596703,Ana López,INHABILITAR
CC,90311366,Ana Sánchez,EMBARGAR
PA,65369816,Pedro Martínez,INHABILITAR
PA,36697056,María López,INHABILITAR
PA,41864091,Juan Martínez,EMBARGAR
CC,53260387,Carmen López,EMBARGAR
CE,95698141,Carmen García,INHABILITAR
CE,86332115,Carmen López,EMBARGAR
CC,24595344,Pedro Rodríguez,INHABILITAR
CE,89987999,Patricia García,EMBARGAR
PA,41893956,Carmen Sánchez,INHABILITAR
CE,60687197,Carmen González,INHABILITAR
CC,45989055,Pedro Sánchez,INHABILITAR
CC,38358573,José Pérez,EMBARGAR
CC,44795432,Juan García,INHABILITAR
PA,20125728,Carmen Pérez,INHABILITAR
CE,07184748,Pedro Pérez,INHABILITAR
PA,73581158,José Pérez,EMBARGAR
PA,08097599,Patricia García,INHABILITAR
CE,26353767,Luis Rodríguez,EMBARGAR
CE,04033963,Luis García,INHABILITAR
PA,50772435,Ana González,EMBARGAR
CC,83947187,Carmen González,EMBARGAR
PA,01701629,Carmen López,EMBARGAR
CE,42855765,Pedro Martínez,EMBARGAR
CE,01612760,Ana Sánchez,INHABILITAR
PA,02827177,Luis Sánchez,INHABILITAR
CE,92200999,Ana Martínez,INHABILITAR
CC,60250781,Pedro Rodríguez,INHABILITAR
PA,05265275,Luis González,EMBARGAR
PA,65547874,María López,INHABILITAR
CC,35388609,Ana Rodríguez,INHABILITAR
CE,30054969,María Pérez,INHABILITAR
CE,11730002,Patricia Martínez,INHABILITAR
CC,14777083,Luis Rodríguez,INHABILITAR
CC,49558901,Juan González,EMBARGAR
PA,17243199,Patricia López,EMBARGAR
CE,43396490,María Rodríguez,EMBARGAR
CE,59294418,Luis Sánchez,INHABILITAR
CC,24346902,María Sánchez,EMBARGAR
CC,73077134,Juan García,EMBARGAR
CC,80103444,María González,EMBARGAR
CC,17794439,Carmen García,EMBARGAR
CE,44865051,Juan Rodríguez,INHABILITAR
PA,00894438,Luis García,INHABILITAR
CC,92005355,María García,INHABILITAR
PA,85649308,Ana Martínez,EMBARGAR
PA,12067896,Ana Martínez,EMBARGAR
CC,78300309,Luis Martínez,INHABILITAR
CC,60417154,Ana González,INHABILITAR
PA,29307579,Pedro Rodríguez,EMBARGAR
CC,97337879,María López,INHABILITAR
PA,16447950,Patricia Pérez,EMBARGAR
CC,47890506,Ana García,INHABILITAR
CE,55057554,Carmen López,INHABILITAR
CC,78592820,Carmen Rodríguez,EMBARGAR
CE,84699031,Juan Sánchez,INHABILITAR
PA,37082719,José González,INHABILITAR
PA,94192221,Ana López,EMBARGAR
CE,98847959,Pedro García,INHABILITAR
CC,40680031,José González,EMBARGAR
CC,59838803,Pedro Sánchez,INHABILITAR
CC,50434049,María Pérez,INHABILITAR
CE,78210859,María Martínez,EMBARGAR
CC,34253866,Ana González,INHABILITAR
CE,69520146,Pedro García,INHABILITAR
PA,86772176,José López,INHABILITAR
CE,72882045,José Rodríguez,INHABILITAR
CE,44398954,Juan Pérez,EMBARGAR
CE,52458997,José Sánchez,EMBARGAR
PA,62299373,José Sánchez,EMBARGAR
CC,90883983,Ana García,INHABILITAR
CE,71987053,Pedro López,INHABILITAR
CE,77808099,Patricia Pérez,EMBARGAR
PA,06640461,José Rodríguez,INHABILITAR
PA,83526426,Luis Pérez,INHABILITAR
CE,13245292,Pedro Pérez,INHABILITAR
CE,51796386,Carmen Pérez,INHABILITAR
CE,73597528,José García,INHABILITAR
PA,98177890,Carmen Martínez,INHABILITAR
CC,34516039,Ana Pérez,EMBARGAR
CC,66975293,José González,EMBARGAR
CE,97688874,Pedro Sánchez,INHABILITAR
CE,57292532,Patricia Pérez,INHABILITAR
PA,37758154,Juan López,INHABILITAR
CE,36131214,Juan Sánchez,EMBARGAR
PA,25755771,José Sánchez,INHABILITAR
PA,36609916,Pedro González,INHABILITAR
CC,66273707,María Martínez,INHABILITAR
PA,55821803,María López,INHABILITAR
CC,77643031,Carmen López,EMBARGAR
CE,22623170,Carmen Rodríguez,INHABILITAR
CE,59505939,Carmen García,INHABILITAR
PA,35322349,Luis López,INHABILITAR
PA,93161738,María González,EMBARGAR
CC,15454915,Ana López,EMBARGAR
PA,33930710,Pedro Martínez,INHABILITAR
PA,67958876,Juan Pérez,INHABILITAR
CC,12740140,Carmen Rodríguez,INHABILITAR
CC,06116780,Juan Martínez,EMBARGAR
CE,49628520,Carmen Rodríguez,INHABILITAR
CC,80075118,María Martínez,EMBARGAR
CC,81109271,José García,EMBARGAR
CC,09167788,Pedro González,INHABILITAR
CE,01778333,José Martínez,EMBARGAR
CC,99262777,Ana Sánchez,INHABILITAR
CE,95338029,Pedro Martínez,INHABILITAR
CC,79553687,María González,INHABILITAR
CE,88735408,Juan Sánchez,EMBARGAR
CC,36137573,José López,INHABILITAR
CC,51051548,Carmen Rodríguez,EMBARGAR
CE,28421283,María López,INHABILITAR
CE,54832089,Patricia Pérez,EMBARGAR
CE,53848289,Luis Sánchez,EMBARGAR
CC,37329401,Patricia González,INHABILITAR
CE,16757533,Patricia Rodríguez,EMBARGAR
CC,58691631,Juan Pérez,EMBARGAR
CC,63514759,Carmen González,EMBARGAR
CC,31182200,Patricia Pérez,INHABILITAR
CE,17771838,Juan García,EMBARGAR
CE,95298481,Pedro Sánchez,EMBARGAR
CC,84843137,Juan Martínez,EMBARGAR
PA,17600581,Ana Pérez,INHABILITAR
CE,38108059,Pedro Pérez,INHABILITAR
CC,38614894,Carmen Pérez,EMBARGAR
CC,25023821,José García,EMBARGAR
CC,13992062,Carmen Sánchez,INHABILITAR
PA,46310457,Ana Rodríguez,EMBARGAR
CC,49966037,Ana López,INHABILITAR
CE,81155930,Patricia López,EMBARGAR
CE,66334546,Carmen García,EMBARGAR
CC,66690364,Luis González,INHABILITAR
CE,28777752,José Sánchez,EMBARGAR
CC,43300942,Luis Martínez,EMBARGAR
CC,94440115,Ana Martínez,EMBARGAR
PA,79107643,Pedro Sánchez,EMBARGAR
CC,65346490,Carmen Rodríguez,INHABILITAR
CC,37511141,Patricia Pérez,EMBARGAR
PA,73892151,Luis Pérez,EMBARGAR
CE,62911025,Pedro Sánchez,EMBARGAR
CC,02019641,Pedro Martínez,INHABILITAR
CE,08383863,Pedro Sánchez,INHABILITAR
CC,94252558,José López,INHABILITAR
PA,34419729,Luis González,INHABILITAR
CC,90453200,Ana López,EMBARGAR
PA,16961895,Pedro Sánchez,INHABILITAR
PA,78943701,María González,INHABILITAR
CE,93073073,Pedro Sánchez,EMBARGAR
PA,85162082,Patricia Rodríguez,EMBARGAR
PA,14319666,María González,INHABILITAR
PA,81469709,José Rodríguez,EMBARGAR
CE,36363504,Patricia Rodríguez,INHABILITAR
CE,46351802,Pedro Martínez,INHABILITAR
CC,60228553,María Pérez,EMBARGAR
CE,07617268,Carmen Pérez,EMBARGAR
CE,80324402,José Martínez,EMBARGAR
CE,96280729,Pedro Pérez,EMBARGAR
PA,36016759,Luis Rodríguez,EMBARGAR
CC,06216225,Pedro García,EMBARGAR
CE,45361378,Carmen González,EMBARGAR
CC,00485447,Carmen González,EMBARGAR
PA,69922131,Ana Pérez,EMBARGAR
CC,29791376,Patricia López,EMBARGAR
PA,90406113,José López,EMBARGAR
CE,21115835,Pedro Pérez,INHABILITAR
PA,77974361,Carmen Pérez,INHABILITAR
PA,93696217,Luis Rodríguez,INHABILITAR
CE,36756334,José López,EMBARGAR
PA,36902232,Ana López,EMBARGAR
CE,52733350,Luis González,INHABILITAR
PA,02929403,Luis Pérez,INHABILITAR
CC,31536174,José Pérez,EMBARGAR
PA,41543760,Juan Rodríguez,EMBARGAR
CE,72669644,José Martínez,INHABILITAR
PA,33373908,Pedro Martínez,EMBARGAR
CC,21423963,Ana Rodríguez,INHABILITAR
CC,05451943,José González,INHABILITAR
CE,11178325,Carmen López,INHABILITAR
PA,78582064,Juan López,EMBARGAR
PA,08017162,Patricia Rodríguez,INHABILITAR
CC,29557206,Carmen González,INHABILITAR
CE,97491284,José Pérez,EMBARGAR
CE,82402683,Luis Sánchez,INHABILITAR
CC,94354581,Pedro Pérez,EMBARGAR
CC,30570507,Patricia Sánchez,EMBARGAR
CE,40217636,José García,EMBARGAR
PA,98160405,Juan López,INHABILITAR
PA,58954024,Carmen Sánchez,INHABILITAR
CC,06775049,Luis Martínez,INHABILITAR
CC,23276613,Luis Pérez,INHABILITAR
CE,10909505,Patricia Rodríguez,INHABILITAR
PA,49780328,Ana Sánchez,INHABILITAR
CE,18177201,Luis González,EMBARGAR
PA,97056076,Luis Martínez,EMBARGAR
CC,54584761,Ana Rodríguez,INHABILITAR
PA,11430462,Juan Martínez,EMBARGAR
CC,31856669,Luis Martínez,EMBARGAR
CE,96578311,María Sánchez,INHABILITAR
CE,83782113,José Pérez,INHABILITAR
CE,79455170,Juan Pérez,EMBARGAR
CE,52177764,Juan Martínez,INHABILITAR
CC,52969652,José García,EMBARGAR
PA,42804886,Luis González,EMBARGAR
CC,16716867,Juan García,INHABILITAR
PA,88409086,José García,INHABILITAR
CE,89592150,Pedro López,INHABILITAR
CE,31226531,Juan García,EMBARGAR
PA,42735539,Pedro Sánchez,INHABILITAR
CE,49629203,José Pérez,EMBARGAR
PA,75123252,Ana Martínez,EMBARGAR
CE,62685686,Carmen Sánchez,EMBARGAR
CE,22166275,Pedro Martínez,INHABILITAR
CC,31199356,Juan Rodríguez,EMBARGAR
CC,60836392,Patricia García,EMBARGAR
PA,51448171,Patricia Rodríguez,INHABILITAR
CE,90893455,María Martínez,EMBARGAR
CC,28021579,Patricia Sánchez,EMBARGAR
PA,37688671,Juan López,INHABILITAR
CE,16453582,José González,INHABILITAR
CC,48837187,Patricia García,EMBARGAR
PA,02680325,José Pérez,INHABILITAR
CE,39878306,José García,EMBARGAR
CC,90153582,María Martínez,EMBARGAR
PA,72191832,Carmen Sánchez,EMBARGAR
CE,67787814,Pedro García,INHABILITAR
PA,85709591,José Sánchez,EMBARGAR
CC,62541738,Juan Sánchez,INHABILITAR
CC,41424219,Carmen Martínez,INHABILITAR
CE,13238941,Carmen García,INHABILITAR
PA,63561297,Luis Rodríguez,INHABILITAR
PA,38930497,Ana González,INHABILITAR
CC,06613965,Juan García,EMBARGAR
PA,43847783,María Sánchez,EMBARGAR
PA,40215301,Ana Martínez,EMBARGAR
PA,41321909,Luis García,INHABILITAR
CC,95649122,Carmen Pérez,EMBARGAR
PA,82484808,Pedro García,EMBARGAR
PA,92296794,Juan García,INHABILITAR
CC,31286745,Pedro López,EMBARGAR
CC,46508264,María González,INHABILITAR
CC,06016164,Carmen Pérez,EMBARGAR
CE,26810587,María Sánchez,EMBARGAR
PA,24380282,Juan Martínez,EMBARGAR
CC,75829189,María García,INHABILITAR
PA,38389884,Luis Rodríguez,EMBARGAR
CE,42561291,Pedro López,EMBARGAR
PA,60660010,María Sánchez,INHABILITAR
CC,19439133,José González,EMBARGAR
CC,07428741,Pedro González,INHABILITAR
CC,16972182,Pedro Sánchez,EMBARGAR
CC,08300328,María Sánchez,INHABILITAR
CC,52392847,María González,EMBARGAR
CE,07000418,Luis López,EMBARGAR
PA,44658976,Luis Sánchez,EMBARGAR
PA,80951660,Luis González,EMBARGAR
CE,10417563,Pedro Martínez,INHABILITAR
CE,24420867,Juan González,EMBARGAR
CC,59472828,José González,EMBARGAR
PA,81803728,Juan Rodríguez,INHABILITAR
CE,39434146,Pedro López,EMBARGAR
PA,36583446,José Martínez,EMBARGAR
CE,70234875,Juan Sánchez,INHABILITAR
PA,27189848,Pedro Pérez,INHABILITAR
PA,69781385,María López,EMBARGAR
CE,29203370,Luis López,EMBARGAR
CE,17991070,Pedro Rodríguez,INHABILITAR
CE,47715747,Carmen González,EMBARGAR
CC,81210363,Carmen Martínez,EMBARGAR
PA,83136228,Juan González,EMBARGAR
PA,60155882,Juan Rodríguez,EMBARGAR
CE,65644650,Ana López,INHABILITAR
CC,71840329,Luis López,EMBARGAR
PA,23571673,María García,INHABILITAR
CE,45736599,Carmen Sánchez,INHABILITAR
PA,81296182,José Sánchez,INHABILITAR
CC,86459633,Carmen García,EMBARGAR
CE,63347083,Patricia González,INHABILITAR
CE,51894117,Luis Rodríguez,INHABILITAR
CE,57893663,Carmen Pérez,EMBARGAR
PA,52404920,José Pérez,INHABILITAR
CE,70707711,Juan Pérez,EMBARGAR
CC,56631115,Patricia García,EMBARGAR
CC,64082367,Ana Rodríguez,EMBARGAR
CE,23760501,José García,INHABILITAR
CC,91421819,Juan Sánchez,EMBARGAR
CC,26942541,Ana García,EMBARGAR
